word,origin,difficulty
kasha,7,2
nebbish,7,2
polka,7,2
Bolshevik,7,2
vampire,7,2
sputnik,7,2
knish,7,2
cravat,7,2
babushka,7,2
Soviet,7,2
Borzoi,7,2
gopak,7,2
cheka,7,2
sevruga,7,2
trepak,7,2
babka,7,2
purga,7,2
baba,7,2
cossack,7,2
nelma,7,2
kovsh,7,2
lokshen,7,2
feldsher,7,2
barabara,7,2
aul,7,2
balalaika,7,4
kielbasa,7,4
tchotchke,7,4
barukhzy,7,4
perestroika,7,4
apparatchik,7,4
commissar,7,4
tokamak,7,4
pogrom,7,4
taiga,7,4
Beetewk,7,4
dugong,8,2
guru,8,2
cushy,8,2
seersucker,8,2
jungle,8,2
oolong,8,2
nirvana,8,2
bangle,8,2
cummerbund,8,2
juggernaut,8,2
pangolin,8,2
mahatma,8,2
rupee,8,2
mongoose,8,2
shampoo,8,2
typhoon,8,2
bamboo,8,2
jackal,8,2
dungaree,8,2
bungalow,8,2
gunnysack,8,2
chutney,8,2
karma,8,2
jute,8,2
yamen,8,2
raj,8,2
kama,8,2
pundit,8,2
loot,8,2
kavya,8,2
jiva,8,2
pandit,8,2
chintz,8,2
patel,8,2
gymkhana,8,4
basmati,8,4
gingham,8,4
mandir,8,4
bhalu,8,4
gourami,8,4
masala,8,4
raita,8,4
asana,8,4
batik,8,4
charpoy,8,4
durwan,8,4
mahout,8,4
prabhu,8,4
Buddha,8,4
topeng,8,4
tanha,8,4
lahar,8,4
jnana,8,4
Holi,8,4
praline,9,2
magnolia,9,2
boysenberry,9,2
hosta,9,2
poinsettia,9,2
macadamia,9,2
salmonella,9,2
newton,9,2
saxophone,9,2
tortoni,9,2
greengage,9,2
angstrom,9,2
gardenia,9,2
melba,9,2
tantalize,9,2
zinnia,9,2
quisling,9,2
begonia,9,2
samaritan,9,2
Panglossian,9,2
quixote,9,2
jeremiad,9,2
hector,9,2
Geronimo,9,2
shrapnel,9,2
vulcanize,9,2
Frankenstein,9,2
Boswell,9,2
ampere,9,2
cupid,9,2
Fletcherism,9,2
yahoo,9,2
diesel,9,2
bandersnatch,9,2
Crusoe,9,2
mentor,9,2
Dracula,9,2
forsythia,9,4
madeleine,9,4
bromeliad,9,4
mercerize,9,4
Fahrenheit,9,4
narcissistic,9,4
dahlia,9,4
Baedeker,9,4
philippic,9,4
guillotine,9,4
Bobadil,9,4
mesmerize,9,4
gnathonic,9,4
pasteurize,9,4
Croesus,9,4
braggadocio,9,4
angst,10,2
pretzel,10,2
waltz,10,2
haversack,10,2
nosh,10,2
sauerbraten,10,2
hinterland,10,2
verboten,10,2
liverwurst,10,2
streusel,10,2
umlaut,10,2
wanderlust,10,2
eiderdown,10,2
schnauzer,10,2
lederhosen,10,2
kohlrabi,10,2
sitzmark,10,2
langlauf,10,2
autobahn,10,2
Backstein,10,2
inselberg,10,2
gestalt,10,2
einkorn,10,2
kitsch,10,2
gestapo,10,2
schloss,10,2
rucksack,10,2
echt,10,2
bratwurst,10,2
knapsack,10,2
feldspar,10,2
poltergeist,10,2
noodle,10,2
spareribs,10,2
Meistersinger,10,2
pumpernickel,10,2
Bildungsroman,10,2
strudel,10,2
bagel,10,2
hamster,10,2
cobalt,10,2
nachtmusik,10,2
vorlage,10,2
graupel,10,2
Wagnerian,10,2
cringle,10,2
fife,10,2
glitz,10,2
homburg,10,2
kuchen,10,2
pitchblende,10,2
spritz,10,2
prattle,10,2
zwinger,10,2
spitz,10,2
realschule,10,2
panzer,10,2
stollen,10,2
dachshund,10,2
seltzer,10,2
schadenfreude,10,4
dreidel,10,4
weimaraner,10,4
ersatz,10,4
fräulein,10,4
blitzkrieg,10,4
gesundheit,10,4
pfeffernuss,10,4
edelweiss,10,4
glockenspiel,10,4
rottweiler,10,4
schottische,10,4
anschluss,10,4
wedel,10,4
springerle,10,4
zeitgeber,10,4
pickelhaube,10,4
schnecke,10,4
Weissnichtwo,10,4
staccato,11,2
ballot,11,2
confetti,11,2
semolina,11,2
influenza,11,2
cavalry,11,2
piazza,11,2
cadenza,11,2
pistachio,11,2
spinet,11,2
cantata,11,2
incognito,11,2
vendetta,11,2
contraband,11,2
mascara,11,2
graffiti,11,2
credenza,11,2
parapet,11,2
falsetto,11,2
ditto,11,2
provolone,11,2
extravaganza,11,2
scampi,11,2
belladonna,11,2
gondola,11,2
rotunda,11,2
cauliflower,11,2
galleria,11,2
regatta,11,2
crescendo,11,2
